"Total character count: 46,841,097",,,,,,
"Context number: 6,243",,,,,,
Character,CHRCount,CHR/million,logCHR,CHR-CD,CHR-CD%,logCHR-CD
任,34349,733.31,4.5359,5769,92.41,3.7611
确,34030,726.5,4.5319,5899,94.49,3.7708
吃,33829,722.21,4.5293,5493,87.99,3.7398
始,33678,718.98,4.5273,5963,95.51,3.7755
结,32979,704.06,4.5182,5870,94.03,3.7686
利,32917,702.74,4.5174,5286,84.67,3.7231
朋,32843,701.16,4.5164,5675,90.9,3.754
警,32561,695.14,4.5127,4422,70.83,3.6456
士,31972,682.56,4.5048,5218,83.58,3.7175
外,31747,677.76,4.5017,5860,93.87,3.7679
件,31611,674.86,4.4998,5746,92.04,3.7594
难,31433,671.06,4.4974,5936,95.08,3.7735
位,31427,670.93,4.4973,5606,89.8,3.7487
表,31395,670.24,4.4969,5521,88.44,3.742
刚,31325,668.75,4.4959,5755,92.18,3.76
希,31198,666.04,4.4941,5815,93.14,3.7645
查,31095,663.84,4.4927,4609,73.83,3.6636
拉,31007,661.96,4.4915,4562,73.07,3.6592
边,30972,661.21,4.491,5769,92.41,3.7611
或,30931,660.34,4.4904,5665,90.74,3.7532
将,30460,650.28,4.4837,5177,82.92,3.7141
男,30316,647.21,4.4817,5410,86.66,3.7332
准,30289,646.63,4.4813,5768,92.39,3.761
变,30205,644.84,4.4801,5828,93.35,3.7655
证,30165,643.99,4.4795,5358,85.82,3.729
物,30079,642.15,4.4783,5603,89.75,3.7484
员,29907,638.48,4.4758,5177,82.92,3.7141
总,29800,636.19,4.4742,5774,92.49,3.7615
噢,29338,626.33,4.4674,3557,56.98,3.5511
系,29334,626.24,4.4674,5675,90.9,3.754
几,29152,622.36,4.4647,5850,93.7,3.7672
管,29106,621.38,4.464,5850,93.7,3.7672
玩,28964,618.35,4.4619,5545,88.82,3.7439
处,28742,613.61,4.4585,5835,93.46,3.766
办,28706,612.84,4.458,5725,91.7,3.7578
主,28628,611.17,4.4568,5684,91.05,3.7547
气,28334,604.9,4.4523,5724,91.69,3.7577
每,28306,604.3,4.4519,5784,92.65,3.7622
少,28266,603.44,4.4513,5879,94.17,3.7693
切,28202,602.08,4.4503,5640,90.34,3.7513
失,28189,601.8,4.4501,5761,92.28,3.7605
算,28149,600.95,4.4495,5764,92.33,3.7607
性,28102,599.94,4.4487,5317,85.17,3.7257
此,28050,598.83,4.4479,5600,89.7,3.7482
必,27960,596.91,4.4465,5667,90.77,3.7534
备,27669,590.7,4.442,5661,90.68,3.7529
合,27378,584.49,4.4374,5632,90.21,3.7507
德,27149,579.6,4.4338,3140,50.3,3.4969
队,27111,578.79,4.4331,4217,67.55,3.625
试,26846,573.13,4.4289,5373,86.06,3.7302
抱,26803,572.21,4.4282,5521,88.44,3.742
医,26637,568.67,4.4255,4151,66.49,3.6182
通,26617,568.24,4.4252,5569,89.2,3.7458
体,26590,567.66,4.4247,5453,87.35,3.7366
乐,26456,564.8,4.4225,5115,81.93,3.7088
并,26283,561.11,4.4197,5393,86.38,3.7318
三,26275,560.94,4.4195,5491,87.95,3.7397
早,26160,558.48,4.4176,5670,90.82,3.7536
门,25908,553.1,4.4134,5498,88.07,3.7402
害,25606,546.66,4.4083,5405,86.58,3.7328
歉,25447,543.26,4.4056,5359,85.84,3.7291
选,25419,542.66,4.4052,4902,78.52,3.6904
嗨,25345,541.08,4.4039,4282,68.59,3.6316
房,25246,538.97,4.4022,5150,82.49,3.7118
命,25014,534.02,4.3982,5227,83.73,3.7183
且,24774,528.89,4.394,5463,87.51,3.7374
向,24596,525.09,4.3909,5538,88.71,3.7434
兴,24438,521.72,4.3881,5535,88.66,3.7431
球,24351,519.86,4.3865,4092,65.55,3.6119
服,24279,518.33,4.3852,5496,88.03,3.74
入,24269,518.11,4.3851,5410,86.66,3.7332
照,24253,517.77,4.3848,5166,82.75,3.7132
提,24028,512.97,4.3807,5602,89.73,3.7483
掉,23820,508.53,4.3769,5478,87.75,3.7386
夫,23767,507.4,4.376,4537,72.67,3.6568
路,23462,500.88,4.3704,5258,84.22,3.7208
演,23373,498.98,4.3687,3897,62.42,3.5907
够,23259,496.55,4.3666,5674,90.89,3.7539
日,23151,494.25,4.3646,5161,82.67,3.7127
案,23014,491.32,4.362,3954,63.33,3.597
舞,22832,487.44,4.3585,2865,45.89,3.4571
决,22798,486.71,4.3579,5405,86.58,3.7328
求,22773,486.18,4.3574,5312,85.09,3.7253
约,22765,486,4.3573,4614,73.91,3.6641
字,22743,485.54,4.3568,5345,85.62,3.7279
呃,22734,485.34,4.3567,3346,53.6,3.5245
肯,22710,484.83,4.3562,5427,86.93,3.7346
目,22482,479.96,4.3518,5073,81.26,3.7053
笑,22282,475.69,4.348,5225,83.69,3.7181
伤,22147,472.81,4.3453,5229,83.76,3.7184
神,22077,471.32,4.3439,5048,80.86,3.7031
父,22065,471.06,4.3437,4318,69.17,3.6353
指,22020,470.1,4.3428,5311,85.07,3.7252
报,21904,467.62,4.3405,4965,79.53,3.6959
留,21859,466.66,4.3396,5482,87.81,3.7389
水,21793,465.25,4.3383,5083,81.42,3.7061
教,21768,464.72,4.3378,4579,73.35,3.6608
枪,21732,463.95,4.3371,3354,53.72,3.5256
清,21660,462.41,4.3357,5479,87.76,3.7387
色,21624,461.65,4.3349,5086,81.47,3.7064
号,21571,460.51,4.3339,4673,74.85,3.6696
世,21566,460.41,4.3338,5168,82.78,3.7133
远,21547,460,4.3334,5522,88.45,3.7421
片,21431,457.53,4.331,4899,78.47,3.6901
官,21405,456.97,4.3305,3496,56,3.5436
口,21385,456.54,4.3301,5406,86.59,3.7329
师,21326,455.28,4.3289,4431,70.98,3.6465
原,21274,454.17,4.3278,5567,89.17,3.7456
酒,21171,451.97,4.3257,4457,71.39,3.649
周,21092,450.29,4.3241,4996,80.03,3.6986
星,20974,447.77,4.3217,4514,72.3,3.6546
识,20878,445.72,4.3197,5397,86.45,3.7322
赛,20455,436.69,4.3108,2704,43.31,3.432
救,20423,436.01,4.3101,4487,71.87,3.652
底,20210,431.46,4.3056,5431,86.99,3.7349
棒,20010,427.19,4.3012,4494,71.98,3.6526
